Cycle: 5  NKG2A  32 nM_X	Cycle: 5  NKG2A  32 nM_Y	Fitted Cycle: 5  NKG2A  32 nM_X	Fitted Cycle: 5  NKG2A  32 nM_Y	Cycle: 6  NKG2A  16 nM_X	Cycle: 6  NKG2A  16 nM_Y	Fitted Cycle: 6  NKG2A  16 nM_X	Fitted Cycle: 6  NKG2A  16 nM_Y	Cycle: 7  NKG2A  8 nM_X	Cycle: 7  NKG2A  8 nM_Y	Fitted Cycle: 7  NKG2A  8 nM_X	Fitted Cycle: 7  NKG2A  8 nM_Y	Cycle: 8  NKG2A  4 nM_X	Cycle: 8  NKG2A  4 nM_Y	Fitted Cycle: 8  NKG2A  4 nM_X	Fitted Cycle: 8  NKG2A  4 nM_Y	Cycle: 9  NKG2A  2 nM_X	Cycle: 9  NKG2A  2 nM_Y	Fitted Cycle: 9  NKG2A  2 nM_X	Fitted Cycle: 9  NKG2A  2 nM_Y	Cycle: 10  NKG2A  8 nM_X	Cycle: 10  NKG2A  8 nM_Y	Fitted Cycle: 10  NKG2A  8 nM_X	Fitted Cycle: 10  NKG2A  8 nM_Y
-57.66	-0.0259196	-57.66	0	-57.66	-0.0393474	-57.66	0	-57.66	-0.0441081	-57.66	0	-57.66	-1.26141e-3	-57.66	0	-57.66	0.0293782	-57.66	0	-57.66	0.0343831	-57.66	0
-57.56	-0.0259196	-57.56	0	-57.56	-0.033488	-57.56	0	-57.56	-0.0499675	-57.56	0	-57.56	-5.16766e-3	-57.56	0	-57.56	0.0320638	-57.56	0	-57.56	0.0297444	-57.56	0
-57.46	-0.0304769	-57.46	0	-57.46	-0.0399984	-57.46	0	-57.46	-0.0552572	-57.46	0	-57.46	-0.0163167	-57.46	0	-57.46	0.0275065	-57.46	0	-57.46	0.0220133	-57.46	0
-57.36	-0.0350341	-57.36	0	-57.36	-0.0426024	-57.36	0	-57.36	-0.0610351	-57.36	0	-57.36	-0.0123292	-57.36	0	-57.36	0.0327149	-57.36	0	-57.36	0.0330809	-57.36	0
-57.26	-0.0298259	-57.26	0	-57.26	-0.0315349	-57.26	0	-57.26	-0.0460612	-57.26	0	-57.26	-0.011027	-57.26	0	-57.26	0.0340169	-57.26	0	-57.26	0.0343831	-57.26	0
-57.16	-0.0350342	-57.16	0	-57.16	-0.0406494	-57.16	0	-57.16	-0.0551758	-57.16	0	-57.16	-0.0220947	-57.16	0	-57.16	0.019043	-57.16	0	-57.16	0.0194092	-57.16	0
-57.06	-0.0239664	-57.06	0	-57.06	-0.0413004	-57.06	0	-57.06	-0.0558267	-57.06	0	-57.06	-0.0207927	-57.06	0	-57.06	0.018392	-57.06	0	-57.06	0.0187581	-57.06	0
-56.96	-0.0252686	-56.96	0	-56.96	-0.0367432	-56.96	0	-56.96	-0.0415039	-56.96	0	-56.96	-0.010376	-56.96	0	-56.96	0.019043	-56.96	0	-56.96	0.0233154	-56.96	0
-56.86	-0.0278727	-56.86	0	-56.86	-0.0295816	-56.86	0	-56.86	-0.044108	-56.86	0	-56.86	-0.0129802	-56.86	0	-56.86	0.0242514	-56.86	0	-56.86	0.0304769	-56.86	0
-56.76	-0.0311279	-56.76	0	-56.76	-0.0328369	-56.76	0	-56.76	-0.0375977	-56.76	0	-56.76	-0.0162354	-56.76	0	-56.76	0.0229492	-56.76	0	-56.76	0.0272217	-56.76	0
-56.66	-0.0285238	-56.66	0	-56.66	-0.0204671	-56.66	0	-56.66	-0.0388997	-56.66	0	-56.66	-0.0136312	-56.66	0	-56.66	0.019694	-56.66	0	-56.66	0.0298258	-56.66	0
-56.56	-0.0298257	-56.56	0	-56.56	-0.0217691	-56.56	0	-56.56	-0.0460611	-56.56	0	-56.56	-9.07385e-3	-56.56	0	-56.56	0.0144858	-56.56	0	-56.56	0.0246176	-56.56	0
-56.46	-0.0331624	-56.46	0	-56.46	-0.0243734	-56.46	0	-56.46	-0.0447591	-56.46	0	-56.46	-0.0136312	-56.46	0	-56.46	0.019694	-56.46	0	-56.46	0.0259196	-56.46	0
-56.36	-0.0363362	-56.36	0	-56.36	-0.0263265	-56.36	0	-56.36	-0.0330403	-56.36	0	-56.36	-9.72503e-3	-56.36	0	-56.36	0.0236003	-56.36	0	-56.36	0.0239664	-56.36	0
-56.26	-0.0371501	-56.26	0	-56.26	-0.0173747	-56.26	0	-56.26	-0.0358073	-56.26	0	-56.26	-6.63251e-3	-56.26	0	-56.26	0.0325521	-56.26	0	-56.26	0.0231526	-56.26	0
-56.16	-0.0399984	-56.16	0	-56.16	-0.020223	-56.16	0	-56.16	-0.0367025	-56.16	0	-56.16	2.23795e-3	-56.16	0	-56.16	0.0297038	-56.16	0	-56.16	0.0203044	-56.16	0
-56.06	-0.0434977	-56.06	0	-56.06	-0.0146891	-56.06	0	-56.06	-0.042155	-56.06	0	-56.06	6.55103e-3	-56.06	0	-56.06	0.0301107	-56.06	0	-56.06	0.0207112	-56.06	0
-55.96	-0.048055	-55.96	0	-55.96	-0.0204671	-55.96	0	-55.96	-0.0408529	-55.96	0	-55.96	3.94693e-3	-55.96	0	-55.96	0.0365397	-55.96	0	-55.96	0.0278727	-55.96	0
